customer_id,channel,cost,conversion_rate,revenue,net_value,customer_segment,customer_value_score,customer_value_score_net
1,referral,8.320326732170223,0.1231449787166301,4199,4190.68,High Value - Standard Efficiency,4,4
2,paid advertising,30.450327213520207,0.0163414915688768,3410,3379.55,Low Value,0,0
3,email marketing,5.2462632712450965,0.0438222285949381,3164,3158.754,Cost Efficient - Potential Value,1,1
4,social media,9.546325667652964,0.1675922473559195,1520,1510.454,Low Value,1,0
5,referral,8.320326732170223,0.1231449787166301,2419,2410.68,Low Value,0,0
6,paid advertising,30.450327213520207,0.0163414915688768,3856,3825.55,High Value - Standard Efficiency,4,4
7,social media,9.546325667652964,0.1675922473559195,1172,1162.454,Low Value,1,0
8,email marketing,5.2462632712450965,0.0438222285949381,700,694.754,Cost Efficient - Potential Value,1,1
9,social media,9.546325667652964,0.1675922473559195,2137,2127.454,Low Value,1,0
10,social media,9.546325667652964,0.1675922473559195,982,972.454,Low Value,1,0
11,email marketing,5.2462632712450965,0.0438222285949381,3003,2997.754,Cost Efficient - Potential Value,1,1
12,referral,8.320326732170223,0.1231449787166301,1455,1446.68,Low Value,0,0
13,social media,9.546325667652964,0.1675922473559195,3388,3378.454,Low Value,1,0
14,email marketing,5.2462632712450965,0.0438222285949381,3562,3556.754,Cost Efficient - Potential Value,1,1
15,referral,8.320326732170223,0.1231449787166301,1147,1138.68,Low Value,0,0
16,paid advertising,30.450327213520207,0.0163414915688768,1303,1272.55,Low Value,0,0
17,referral,8.320326732170223,0.1231449787166301,1456,1447.68,Low Value,0,0
18,paid advertising,30.450327213520207,0.0163414915688768,4549,4518.55,High Value - Standard Efficiency,4,4
19,social media,9.546325667652964,0.1675922473559195,2054,2044.454,Low Value,1,0
20,referral,8.320326732170223,0.1231449787166301,4439,4430.68,High Value - Standard Efficiency,4,4
21,paid advertising,30.450327213520207,0.0163414915688768,1976,1945.55,Low Value,0,0
22,email marketing,5.2462632712450965,0.0438222285949381,4004,3998.754,High Value - High Efficiency,5,5
23,social media,9.546325667652964,0.1675922473559195,2010,2000.454,Low Value,1,0
24,email marketing,5.2462632712450965,0.0438222285949381,3932,3926.754,High Value - High Efficiency,5,5
25,email marketing,5.2462632712450965,0.0438222285949381,1885,1879.754,Cost Efficient - Potential Value,1,1
26,paid advertising,30.450327213520207,0.0163414915688768,4455,4424.55,High Value - Standard Efficiency,4,4
27,email marketing,5.2462632712450965,0.0438222285949381,4681,4675.754,High Value - High Efficiency,5,5
28,social media,9.546325667652964,0.1675922473559195,1867,1857.454,Low Value,1,0
29,email marketing,5.2462632712450965,0.0438222285949381,4342,4336.754,High Value - High Efficiency,5,5
30,paid advertising,30.450327213520207,0.0163414915688768,1385,1354.55,Low Value,0,0
31,referral,8.320326732170223,0.1231449787166301,3239,3230.68,Low Value,0,0
32,social media,9.546325667652964,0.1675922473559195,1459,1449.454,Low Value,1,0
33,referral,8.320326732170223,0.1231449787166301,2021,2012.68,Low Value,0,0
34,social media,9.546325667652964,0.1675922473559195,1947,1937.454,Low Value,1,0
35,paid advertising,30.450327213520207,0.0163414915688768,2026,1995.55,Low Value,0,0
36,referral,8.320326732170223,0.1231449787166301,4776,4767.68,High Value - Standard Efficiency,4,4
37,social media,9.546325667652964,0.1675922473559195,3836,3826.454,High Value - Standard Efficiency,5,4
38,social media,9.546325667652964,0.1675922473559195,3172,3162.454,Low Value,1,0
39,paid advertising,30.450327213520207,0.0163414915688768,4846,4815.55,High Value - Standard Efficiency,4,4
40,referral,8.320326732170223,0.1231449787166301,3868,3859.68,High Value - Standard Efficiency,4,4
41,social media,9.546325667652964,0.1675922473559195,3947,3937.454,High Value - Standard Efficiency,5,4
42,social media,9.546325667652964,0.1675922473559195,1118,1108.454,Low Value,1,0
43,paid advertising,30.450327213520207,0.0163414915688768,3326,3295.55,Low Value,0,0
44,paid advertising,30.450327213520207,0.0163414915688768,1004,973.55,Low Value,0,0
45,paid advertising,30.450327213520207,0.0163414915688768,3596,3565.55,Low Value,0,0
46,social media,9.546325667652964,0.1675922473559195,1052,1042.454,Low Value,1,0
47,email marketing,5.2462632712450965,0.0438222285949381,3466,3460.754,Cost Efficient - Potential Value,1,1
48,referral,8.320326732170223,0.1231449787166301,832,823.68,Low Value,0,0
49,social media,9.546325667652964,0.1675922473559195,1575,1565.454,Low Value,1,0
50,referral,8.320326732170223,0.1231449787166301,571,562.68,Low Value,0,0
51,email marketing,5.2462632712450965,0.0438222285949381,1962,1956.754,Cost Efficient - Potential Value,1,1
52,paid advertising,30.450327213520207,0.0163414915688768,2573,2542.55,Low Value,0,0
53,referral,8.320326732170223,0.1231449787166301,3603,3594.68,Low Value,0,0
54,referral,8.320326732170223,0.1231449787166301,2390,2381.68,Low Value,0,0
55,paid advertising,30.450327213520207,0.0163414915688768,2949,2918.55,Low Value,0,0
56,paid advertising,30.450327213520207,0.0163414915688768,719,688.55,Low Value,0,0
57,email marketing,5.2462632712450965,0.0438222285949381,2754,2748.754,Cost Efficient - Potential Value,1,1
58,paid advertising,30.450327213520207,0.0163414915688768,674,643.55,Low Value,0,0
59,referral,8.320326732170223,0.1231449787166301,868,859.68,Low Value,0,0
60,paid advertising,30.450327213520207,0.0163414915688768,1806,1775.55,Low Value,0,0
61,email marketing,5.2462632712450965,0.0438222285949381,3472,3466.754,Cost Efficient - Potential Value,1,1
62,social media,9.546325667652964,0.1675922473559195,792,782.454,Low Value,1,0
63,email marketing,5.2462632712450965,0.0438222285949381,3890,3884.754,High Value - High Efficiency,5,5
64,social media,9.546325667652964,0.1675922473559195,4131,4121.454,High Value - Standard Efficiency,5,4
65,paid advertising,30.450327213520207,0.0163414915688768,4210,4179.55,High Value - Standard Efficiency,4,4
66,social media,9.546325667652964,0.1675922473559195,1568,1558.454,Low Value,1,0
67,paid advertising,30.450327213520207,0.0163414915688768,2529,2498.55,Low Value,0,0
68,referral,8.320326732170223,0.1231449787166301,2376,2367.68,Low Value,0,0
69,email marketing,5.2462632712450965,0.0438222285949381,2952,2946.754,Cost Efficient - Potential Value,1,1
70,social media,9.546325667652964,0.1675922473559195,4833,4823.454,High Value - Standard Efficiency,5,4
71,paid advertising,30.450327213520207,0.0163414915688768,2237,2206.55,Low Value,0,0
72,referral,8.320326732170223,0.1231449787166301,1361,1352.68,Low Value,0,0
73,paid advertising,30.450327213520207,0.0163414915688768,2807,2776.55,Low Value,0,0
74,paid advertising,30.450327213520207,0.0163414915688768,2620,2589.55,Low Value,0,0
75,referral,8.320326732170223,0.1231449787166301,3525,3516.68,Low Value,0,0
76,paid advertising,30.450327213520207,0.0163414915688768,3112,3081.55,Low Value,0,0
77,email marketing,5.2462632712450965,0.0438222285949381,1736,1730.754,Cost Efficient - Potential Value,1,1
78,social media,9.546325667652964,0.1675922473559195,1812,1802.454,Low Value,1,0
79,paid advertising,30.450327213520207,0.0163414915688768,4540,4509.55,High Value - Standard Efficiency,4,4
80,email marketing,5.2462632712450965,0.0438222285949381,4586,4580.754,High Value - High Efficiency,5,5
81,social media,9.546325667652964,0.1675922473559195,800,790.454,Low Value,1,0
82,email marketing,5.2462632712450965,0.0438222285949381,2741,2735.754,Cost Efficient - Potential Value,1,1
83,email marketing,5.2462632712450965,0.0438222285949381,711,705.754,Cost Efficient - Potential Value,1,1
84,paid advertising,30.450327213520207,0.0163414915688768,3308,3277.55,Low Value,0,0
85,paid advertising,30.450327213520207,0.0163414915688768,4312,4281.55,High Value - Standard Efficiency,4,4
86,email marketing,5.2462632712450965,0.0438222285949381,3280,3274.754,Cost Efficient - Potential Value,1,1
87,social media,9.546325667652964,0.1675922473559195,3469,3459.454,Low Value,1,0
88,social media,9.546325667652964,0.1675922473559195,1487,1477.454,Low Value,1,0
89,paid advertising,30.450327213520207,0.0163414915688768,1771,1740.55,Low Value,0,0
90,paid advertising,30.450327213520207,0.0163414915688768,1364,1333.55,Low Value,0,0
91,email marketing,5.2462632712450965,0.0438222285949381,4302,4296.754,High Value - High Efficiency,5,5
